postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
636780,RU,Стрежевой,Томская Область,75.0,,,,,60.7283,77.5928,4.0
620109,RU,Екатеринбург 109,Свердловская Область,71.0,,,,,56.8263,60.5388,1.0
399850,RU,Данков,Липецкая Область,43.0,ДАНКОВСКИЙ РАЙОН,,,,53.2517,39.1478,4.0
398043,RU,Липецк 43,Липецкая Область,43.0,,,,,52.6186,39.5689,4.0
624420,RU,Лобва,Свердловская Область,71.0,НОВОЛЯЛИНСКИЙ РАЙОН,,,,59.1853,60.4864,4.0
681032,RU,Комсомольск-На-Амуре 32,Хабаровский Край,30.0,,,,,50.5271,137.5916,1.0
452680,RU,Нефтекамск,Башкортостан Республика,8.0,,,,,56.0833,54.2667,4.0
398007,RU,Липецк 7,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
628602,RU,Нижневартовск 2,Тюменская Область,78.0,,,,,60.9333,76.5667,1.0
680045,RU,Хабаровск 45,Хабаровский Край,30.0,,,,,48.4808,135.0928,1.0
140000,RU,Люберцы,Московская Область,47.0,,,,,55.6778,37.8833,4.0
450055,RU,Уфа 55,Башкортостан Республика,8.0,,,,,56.2353,68.7697,1.0
398020,RU,Липецк 20,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
454014,RU,Челябинск 14,Челябинская Область,13.0,,,,,55.1544,61.4297,1.0
623100,RU,Первоуральск,Свердловская Область,71.0,,,,,56.9053,59.9436,4.0
399083,RU,Плеханово,Липецкая Область,43.0,ГРЯЗИНСКИЙ РАЙОН,,,,52.61,40.3136,4.0
142172,RU,Щербинка 2,Московская Область,47.0,,,,,55.4958,37.5461,1.0
628323,RU,Каркатеевы,Тюменская Область,78.0,НЕФТЕЮГАНСКИЙ РАЙОН,,,,61.0667,73.3333,4.0
446103,RU,Чапаевск 3,Самарская Область,65.0,,,,,52.9781,49.7197,1.0
162601,RU,Череповец 1,Вологодская Область,85.0,,,,,59.1333,37.9,1.0
620039,RU,Екатеринбург 39,Свердловская Область,71.0,,,,,56.8575,60.6125,1.0
606525,RU,Заволжье,Нижегородская Область,51.0,ГОРОДЕЦКИЙ РАЙОН,,,,56.6428,43.3936,4.0
681014,RU,Комсомольск-На-Амуре 14,Хабаровский Край,30.0,,,,,50.5271,137.5916,1.0
620036,RU,Екатеринбург 36,Свердловская Область,71.0,,,,,56.8575,60.6125,1.0
462800,RU,Новоорск,Оренбургская Область,55.0,НОВООРСКИЙ РАЙОН,,,,51.3811,58.9847,4.0
187650,RU,Бокситогорск,Ленинградская Область,42.0,,,,,59.4753,33.8508,4.0
186931,RU,Костомукша 1,Карелия Республика,28.0,,,,,64.571,30.5767,1.0
165650,RU,Коряжма,Архангельская Область,6.0,,,,,61.3133,47.1286,4.0
452830,RU,Верхние Татышлы,Башкортостан Республика,8.0,ТАТЫШЛИНСКИЙ РАЙОН,,,,56.2833,55.8667,4.0
628616,RU,Нижневартовск 16,Тюменская Область,78.0,,,,,61.2412,77.4858,1.0
150003,RU,Ярославль 3,Ярославская Область,88.0,,,,,58.5811,50.5389,1.0
427014,RU,Якшур,Удмуртская Республика,80.0,ЗАВЬЯЛОВСКИЙ РАЙОН,,,,56.8852,53.4302,4.0
652500,RU,Ленинск-Кузнецкий,Кемеровская Область,29.0,,,,,54.6575,86.1617,4.0
461040,RU,Бузулук,Оренбургская Область,55.0,,,,,52.7833,52.25,4.0
603018,RU,Нижний Новгород 18,Нижегородская Область,51.0,,,,,56.3287,44.002,1.0
173020,RU,Великий Новгород 20,Новгородская Область,52.0,,,,,58.5167,31.2833,1.0
620105,RU,Екатеринбург 105,Свердловская Область,71.0,,,,,56.8263,60.5388,1.0
352830,RU,Агой,Краснодарский Край,38.0,ТУАПСИНСКИЙ РАЙОН,,,,44.14,39.03,4.0
238418,RU,Фрунзенское,Калининградская Область,23.0,ПРАВДИНСКИЙ РАЙОН,,,,54.4867,21.5586,4.0
121615,RU,Москва 615,Москва,48.0,,,,,55.7522,37.6156,1.0
445587,RU,Чагра,Самарская Область,65.0,ХВОРОСТЯНСКИЙ РАЙОН,,,,52.7223,49.0958,1.0
624286,RU,Малышева,Свердловская Область,71.0,,,,,57.1139,61.3933,4.0
119607,RU,Москва 607,Москва,48.0,,,,,55.7522,37.6156,1.0
628331,RU,Пойковский,Тюменская Область,78.0,НЕФТЕЮГАНСКИЙ РАЙОН,,,,61.0056,71.9211,4.0
162623,RU,Череповец 23,Вологодская Область,85.0,,,,,58.6304,38.2367,1.0
450096,RU,Уфа 96,Башкортостан Республика,8.0,,,,,56.2353,68.7697,1.0
398055,RU,Липецк 55,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
100000,,,,,,,,,,,
127474,RU,Москва 474,Москва,48.0,,,,,55.7522,37.6156,1.0
129281,RU,Москва 281,Москва,48.0,,,,,55.7522,37.6156,1.0
308010,RU,Белгород 10,Белгородская Область,9.0,,,,,52.87,34.65,4.0
140103,RU,Раменское 3,Московская Область,47.0,,,,,55.5669,38.2303,1.0
152072,RU,Данилов 2,Ярославская Область,88.0,ДАНИЛОВСКИЙ РАЙОН,,,,58.0664,40.1,1.0
624300,RU,Кушва,Свердловская Область,71.0,,,,,58.2922,59.7528,4.0
